# runs.log — Registre des jobs : 2026-biosphere
# Format : ISO-date | job_id | statut | git_hash | script | notes
2026-03-05T11:44:07+01:00 | cutadapt_2-132_132_L001_4253302 | START | 6745b41 | slurm_script | sample=2-132_132_L20262026-03-05T11:44:07+01:00 | cutadapt_2-123_123_L001_4253293 | START | 6745b41 | slurm_script | sample=2-123_12026-03-05T11:44:07+01:00 | cutadapt_1-4_4_L001_4253216 | START | 6745b41 | slurm_script | sample=1-4_4_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-44_44_L001_4253215 | START | 6745b41 | slurm_script | sample=1-44_44_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-49_49_L001_4253221 | START | 6745b41 | slurm_script | sample=1-49_49_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-64_64_L001_4253237 | START | 6745b41 | slurm_script | sample=1-64_64_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-62_62_L001_4253235 | START | 6745b41 | slurm_script | sample=1-62_62_L001
001
2026-03-05T11:44:07+01:00 | cutadapt_2-127_127_L001_4253297 | START | 6745b41 | slurm_script | sample=2-127_127_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-119_119_L001_4253291 | START | 6745b41 | slurm_script | sample=2-119_119_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-126_126_L001_4253296 | START | 6745b41 | slurm_script | sample=2-126_126_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-50_50_L001_4253222 | START | 6745b41 | slurm_script | sample=1-50_50_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-57_57_L001_4253230 | START | 6745b41 | slurm_script | sample=1-57_57_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-90_90_L001_4253266 | START | 6745b41 | slurm_script | sample=1-90_90_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-120_120_L001_4253292 | START | 6745b41 | slurm_script | sample=2-120_120_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-71_71_L001_4253245 | START | 6745b41 | slurm_script | sample=1-71_71_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-41_41_L001_4253212 | START | 6745b41 | slurm_script | sample=1-41_41_L001
001
2026-03-05T11:44:07+01:00 | cutadapt_2-108_108_L001_4253281 | START | 6745b41 | slurm_script | sample=2-108_108_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-74_74_L001_4253248 | START | 6745b41 | slurm_script | sample=1-74_74_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-130_130_L001_4253300 | START | 6745b41 | slurm_script | sample=2-130_130_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-8_8_L001_4253264 | START | 6745b41 | slurm_script | sample=1-8_8_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-135_135_L001_4253305 | START | 6745b41 | slurm_script | sample=2-135_135_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-84_84_L001_4253259 | START | 6745b41 | slurm_script | sample=1-84_84_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-88_88_L001_4253263 | START | 6745b41 | slurm_script | sample=1-88_88_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-83_83_L001_4253258 | START | 6745b41 | slurm_script | sample=1-83_83_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-59_59_L001_4253232 | START | 6745b41 | slurm_script | sample=1-59_59_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-100_100_L001_4253273 | START | 6745b41 | slurm_script | sample=2-100_100_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-6_6_L001_4253240 | START | 6745b41 | slurm_script | sample=1-6_6_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-72_72_L001_4253246 | START | 6745b41 | slurm_script | sample=1-72_72_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-125_125_L001_4253295 | START | 6745b41 | slurm_script | sample=2-125_125_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-87_87_L001_4253262 | START | 6745b41 | slurm_script | sample=1-87_87_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-91_91_L001_4253267 | START | 6745b41 | slurm_script | sample=1-91_91_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-54_54_L001_4253226 | START | 6745b41 | slurm_script | sample=1-54_54_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-47_47_L001_4253219 | START | 6745b41 | slurm_script | sample=1-47_47_L001
001
